date,visits
2026-01-01,72
2026-01-02,67
2026-01-03,77
2026-01-04,60
2026-01-05,55
2026-01-06,63
2026-01-07,72
2026-01-08,69
2026-01-09,72
2026-01-10,69
2026-01-11,60
2026-01-12,69
2026-01-13,70
2026-01-14,77
2026-01-15,73
2026-01-16,68
2026-01-17,75
2026-01-18,51
2026-01-19,70
2026-01-20,69
2026-01-21,70
2026-01-22,67
2026-01-23,79
2026-01-24,73
2026-01-25,53
2026-01-26,64
2026-01-27,72
2026-01-28,73
2026-01-29,73
2026-01-30,75
2026-01-31,84
2026-02-01,54
2026-02-02,63
2026-02-03,66
2026-02-04,75
2026-02-05,76
2026-02-06,72
2026-02-07,70
2026-02-08,52
2026-02-09,69
2026-02-10,74
2026-02-11,75
2026-02-12,68
2026-02-13,74
2026-02-14,74
2026-02-15,57
2026-02-16,70
2026-02-17,71
2026-02-18,75
2026-02-19,71
2026-02-20,74
2026-02-21,77
2026-02-22,49
2026-02-23,64
2026-02-24,68
2026-02-25,69
2026-02-26,70
2026-02-27,81
2026-02-28,70
2026-03-01,61
2026-03-02,58
2026-03-03,69
2026-03-04,73
2026-03-05,74
2026-03-06,77
2026-03-07,78
2026-03-08,55
2026-03-09,64
2026-03-10,75
2026-03-11,71
2026-03-12,65
2026-03-13,68
2026-03-14,70
2026-03-15,59
2026-03-16,67
2026-03-17,74
2026-03-18,70
2026-03-19,72
2026-03-20,77
2026-03-21,73
2026-03-22,59
2026-03-23,63
2026-03-24,69
2026-03-25,71
2026-03-26,66
2026-03-27,76
2026-03-28,72
2026-03-29,57
2026-03-30,69
2026-03-31,73
2026-04-01,76
2026-04-02,71
2026-04-03,72
2026-04-04,75
2026-04-05,49
2026-04-06,60
2026-04-07,64
2026-04-08,68
2026-04-09,74
2026-04-10,70
2026-04-11,73
2026-04-12,64
2026-04-13,65
2026-04-14,75
2026-04-15,68
2026-04-16,71
2026-04-17,69
2026-04-18,74
2026-04-19,61
2026-04-20,59
2026-04-21,73
2026-04-22,74
2026-04-23,69
2026-04-24,67
2026-04-25,76
2026-04-26,55
2026-04-27,69
2026-04-28,72
2026-04-29,81
2026-04-30,71
2026-05-01,69
2026-05-02,76
2026-05-03,59
2026-05-04,74
2026-05-05,76
2026-05-06,75
2026-05-07,80
2026-05-08,69
2026-05-09,72
2026-05-10,53
2026-05-11,66
2026-05-12,65
2026-05-13,77
2026-05-14,72
2026-05-15,67
2026-05-16,71
2026-05-17,59
2026-05-18,72
2026-05-19,82
2026-05-20,88
2026-05-21,75
2026-05-22,70
2026-05-23,65
2026-05-24,59
2026-05-25,64
2026-05-26,70
2026-05-27,71
2026-05-28,72
2026-05-29,80
2026-05-30,77
2026-05-31,57
2026-06-01,63
2026-06-02,64
2026-06-03,72
2026-06-04,73
2026-06-05,84
2026-06-06,77
2026-06-07,63
2026-06-08,66
2026-06-09,66
2026-06-10,69
2026-06-11,70
2026-06-12,86
2026-06-13,72
2026-06-14,63
2026-06-15,64
2026-06-16,77
2026-06-17,76
2026-06-18,73
2026-06-19,75
2026-06-20,73
2026-06-21,61
2026-06-22,66
2026-06-23,66
2026-06-24,68
2026-06-25,74
2026-06-26,84
2026-06-27,77
2026-06-28,58
2026-06-29,70
2026-06-30,79
2026-07-01,76
2026-07-02,72
2026-07-03,81
2026-07-04,79
2026-07-05,67
2026-07-06,70
2026-07-07,67
2026-07-08,68
2026-07-09,82
2026-07-10,85
2026-07-11,76
2026-07-12,57
2026-07-13,76
2026-07-14,67
2026-07-15,71
2026-07-16,77
2026-07-17,74
2026-07-18,77
2026-07-19,58
2026-07-20,71
2026-07-21,80
2026-07-22,76
2026-07-23,77
2026-07-24,66
2026-07-25,77
2026-07-26,55
2026-07-27,63
2026-07-28,69
2026-07-29,74
2026-07-30,79
2026-07-31,70
2026-08-01,78
2026-08-02,57
2026-08-03,68
2026-08-04,78
2026-08-05,78
2026-08-06,81
2026-08-07,76
2026-08-08,74
2026-08-09,58
2026-08-10,71
2026-08-11,74
2026-08-12,70
2026-08-13,75
2026-08-14,78
2026-08-15,90
2026-08-16,69
2026-08-17,65
2026-08-18,72
2026-08-19,68
2026-08-20,72
2026-08-21,78
2026-08-22,84
2026-08-23,56
2026-08-24,67
2026-08-25,63
2026-08-26,75
2026-08-27,70
2026-08-28,74
2026-08-29,74
2026-08-30,60
2026-08-31,61
